movieNm,audiCnt,scrnCnt,audiPerScrn
범죄도시 2,12686014,81645,155.3801702492498
스파이더맨: 노 웨이 홈,7541536,90668,83.17748268407817
탑건: 매버릭,7448590,57863,128.72803000190103
닥터 스트레인지: 대혼돈의 멀티버스,5880700,48993,120.03143306186598
한산: 용의 출현,4597826,22656,202.94076624293785
이터널스,3045398,48675,62.565957883923986
쥬라기 월드: 도미니언,2832531,24893,113.78825372594706
마녀(魔女) Part2. The Other One,2795796,27322,102.32764804919113
토르: 러브 앤 썬더,2711863,26516,102.27270327349525
싱크홀,2178353,35019,62.20488877466518
베놈 2: 렛 데어 비 카니지,2114192,38939,54.29497419040037
모가디슈,2088040,47683,43.7900299897238
미니언즈2,1971475,19463,101.29347993628937
헤어질 결심,1774163,27562,64.3698933313983
샹치와 텐 링즈의 전설,1734677,38205,45.40444967936134
인질,1626879,35261,46.138198009131905
듄,1578018,41647,37.89031622926021
외계+인 1부,1493203,19211,77.72645879964604
보이스,1419478,37965,37.38912155933096
비상선언,1397962,8489,164.67923194722582
해적: 도깨비 깃발,1327411,35386,37.51232125699429
브로커,1252060,19738,63.433985206201235
007 노 타임 투 다이,1222296,36288,33.68320105820106
신비한 동물들과 덤블도어의 비밀,1190425,35129,33.88724415724899
킹스맨: 퍼스트 에이전트,1021842,22781,44.855010754576185
씽2게더,869335,31422,27.666443892813952
유체이탈자,808285,24460,33.045175797219954
킹메이커,772996,26446,29.229221810481736
언차티드,728669,26159,27.855384380136854
경관의 피,676346,18389,36.77992277992278
엔칸토: 마법의 세계,627768,21219,29.585183090626327
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,575641,7926,72.6269240474388
장르만 로맨스,511803,15388,33.25987782687809
명탐정 코난: 할로윈의 신부,439737,8909,49.358738354473005
특송,435630,14972,29.096313117819932
니 부모 얼굴이 보고 싶다,409811,13637,30.051404267800837
배드 가이즈,393867,11221,35.100882274307104
뽀로로 극장판 드래곤캐슬 대모험,365733,6989,52.32980397767921
버즈 라이트이어,339469,8660,39.19965357967668
그대가 조국,324303,5728,56.617143854748605
프리 가이 ,299106,9471,31.58124802027241
강릉,298847,9481,31.52062018774391
해피 뉴 이어,229306,7776,29.488940329218106
더 수어사이드 스쿼드,196189,7111,27.589509211081424
극장판 엉덩이 탐정: 수플레 섬의 비밀,145915,5122,28.48789535337759
해리포터와 마법사의 돌,63975,1299,49.249422632794456
너의 이름은.,45672,552,82.73913043478261
세븐틴 파워 오브 러브 : 더 무비,44818,1443,31.058905058905058
뒤틀린 집,29964,1014,29.550295857988164
극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,27983,941,29.7375132837407
